PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,MIN,GP,USG_PCT,AST_PCT,TS_PCT,OFF_RATING,DEF_RATING,PIE,3P_Attempt_Rate,PICK__ROLL_BALL_HANDLER_FREQ,PICK__ROLL_BALL_HANDLER_PPP,ISOLATION_FREQ,ISOLATION_PPP,HANDOFF_FREQ,HANDOFF_PPP,OFF_SCREEN_FREQ,OFF_SCREEN_PPP,CUT_FREQ,CUT_PPP,PUTBACK_FREQ,PUTBACK_PPP,POST_UP_FREQ,POST_UP_PPP,PICK__ROLL_ROLL_MAN_FREQ,PICK__ROLL_ROLL_MAN_PPP,SPOT_UP_FREQ,SPOT_UP_PPP,TRANSITION_FREQ,TRANSITION_PPP
203903,Jordan Clarkson,UTA,26.0,37,0.269,0.238,0.54,107.5,117.5,0.102,0.4705882352941176,0.257,0.884,0.155,0.869,0.089,1.193,0.075,0.875,0.017,0.636,0.024,0.8,0.0,0.0,0.019,0.833,0.149,1.032,0.149,1.042
1630692,Jordan Goodwin,LAL,18.7,29,0.134,0.108,0.541,111.2,112.4,0.08,0.4722222222222222,0.106,0.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117,0.81,0.0,0.0,0.056,1.2,0.397,1.169,0.117,0.286
1641722,Jordan Hawkins,NOP,23.6,56,0.204,0.076,0.504,106.6,118.1,0.066,0.5971223021582733,0.148,1.021,0.029,0.368,0.113,0.662,0.127,0.783,0.0,0.0,0.023,1.267,0.0,0.0,0.02,1.231,0.281,0.87,0.213,1.165
1629162,Jordan McLaughlin,SAS,6.8,46,0.134,0.208,0.6,118.0,108.9,0.083,0.6388888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1641757,Jordan Miller,LAC,11.4,37,0.175,0.124,0.509,103.8,109.8,0.07,0.2835820895522388,0.113,0.95,0.068,0.75,0.175,0.871,0.0,0.0,0.0,0.0,0.085,1.267,0.0,0.0,0.0,0.0,0.26,0.783,0.181,0.938
1629673,Jordan Poole,WAS,29.4,68,0.281,0.254,0.591,104.8,117.9,0.107,0.5884578997161779,0.307,0.979,0.056,0.87,0.096,0.977,0.075,0.971,0.019,1.269,0.01,0.929,0.0,0.0,0.01,0.857,0.127,0.949,0.238,1.177
1641775,Jordan Walsh,BOS,7.8,52,0.11,0.064,0.464,111.8,108.0,0.045,0.6626506024096386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630631,Jose Alvarado,NOP,24.4,56,0.193,0.278,0.523,108.4,117.1,0.09,0.5930902111324377,0.342,0.806,0.058,1.216,0.047,1.067,0.017,0.545,0.021,1.385,0.0,0.0,0.0,0.0,0.016,0.2,0.281,0.983,0.159,1.01
1630528,Josh Christopher,MIA,5.0,14,0.235,0.145,0.416,105.7,108.2,0.063,0.3548387096774194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630581,Josh Giddey,CHI,30.2,70,0.214,0.322,0.57,113.1,114.4,0.13,0.3483709273182957,0.261,0.826,0.037,0.902,0.025,0.464,0.014,1.2,0.045,1.4,0.042,0.935,0.0,0.0,0.0,0.0,0.237,1.011,0.272,1.043
