Team,Team_Playstyle,Lineup_Name,Minutes,Plus_Minus,Current_OFF_Archetypes,Current_DEF_Archetypes,Rec_Add_OFF,Rec_Add_DEF
WAS,High Pace + High Ball Movement + Transition Heavy,J. Poole - C. Kispert - A. Sarr - B. Carrington,59.193333,11.0,"Elite P&R Handler, High Playmaking, High Usage, Elite Off-Screen, Spot Up, Transition, Elite Cutter, Elite Roll Man, Post Up, P&R Handler, Transition, Spot Up","Guards SF (), Guards SF (), Anchor Big / Rim Protector, High High Difficulty, Versatile, Steals","Elite Post Up, High Roll Man, High Usage, High Spot Up, Transition","Versatile, High Steals, Versatile, Disruptor"
WAS,High Pace + High Ball Movement + Transition Heavy,K. Middleton - J. Poole - B. Coulibaly - K. George,80.831667,9.0,"Elite P&R Handler, High Playmaking, High Usage, Elite P&R Handler, High Playmaking, High Usage, P&R Handler, Transition, Spot Up, P&R Handler, Transition, Spot Up","Versatile, Guards SF (), High High Difficulty, Versatile, Steals, High Steals, Versatile, Disruptor","Elite Post Up, High Roll Man, High Usage, High Spot Up, Transition",Anchor Big / Rim Protector
LAL,Balanced / Average Style,L. James - D. Finney-Smith - R. Hachimura - A. Reaves,217.898333,90.0,"Elite Iso, Elite Usage, High Playmaking, High Spot Up, Transition, High Spot Up, Transition, Elite P&R Handler, High Playmaking, High Usage","Versatile, High High Difficulty, Versatile, Steals, Versatile, High High Difficulty, Versatile, Steals","Elite Off-Screen, Spot Up, Transition, P&R Handler, Transition, Spot Up, Elite Post Up, High Roll Man, High Usage","Anchor Big / Rim Protector, High Steals, Versatile, Disruptor, Guards SF ()"
LAL,Balanced / Average Style,D. Finney-Smith - L. Dončić - R. Hachimura - A. Reaves,162.595,89.0,"High Spot Up, Transition, Elite Iso, Elite Usage, High Playmaking, High Spot Up, Transition, Elite P&R Handler, High Playmaking, High Usage","High High Difficulty, Versatile, Steals, High Steals, Versatile, Disruptor, Versatile, High High Difficulty, Versatile, Steals","Elite Off-Screen, Spot Up, Transition, P&R Handler, Transition, Spot Up, Elite Post Up, High Roll Man, High Usage","Anchor Big / Rim Protector, Guards SF ()"
LAL,Balanced / Average Style,L. James - D. Finney-Smith - L. Dončić - R. Hachimura,126.928333,64.0,"Elite Iso, Elite Usage, High Playmaking, High Spot Up, Transition, Elite Iso, Elite Usage, High Playmaking, High Spot Up, Transition","Versatile, High High Difficulty, Versatile, Steals, High Steals, Versatile, Disruptor, Versatile","Elite Off-Screen, Spot Up, Transition, P&R Handler, Transition, Spot Up, Elite Post Up, High Roll Man, High Usage","Anchor Big / Rim Protector, Guards SF ()"
LAL,Balanced / Average Style,D. Finney-Smith - L. Dončić - R. Hachimura - G. Vincent,66.91,63.0,"High Spot Up, Transition, Elite Iso, Elite Usage, High Playmaking, High Spot Up, Transition, Elite Off-Screen, Spot Up, Transition","High High Difficulty, Versatile, Steals, High Steals, Versatile, Disruptor, Versatile, High High Difficulty, Versatile, Steals","P&R Handler, Transition, Spot Up, Elite Post Up, High Roll Man, High Usage","Anchor Big / Rim Protector, Guards SF ()"
LAL,Balanced / Average Style,D. Finney-Smith - L. Dončić - G. Vincent - A. Reaves,126.52,63.0,"High Spot Up, Transition, Elite Iso, Elite Usage, High Playmaking, Elite Off-Screen, Spot Up, Transition, Elite P&R Handler, High Playmaking, High Usage","High High Difficulty, Versatile, Steals, High Steals, Versatile, Disruptor, High High Difficulty, Versatile, Steals, High High Difficulty, Versatile, Steals","P&R Handler, Transition, Spot Up, Elite Post Up, High Roll Man, High Usage","Versatile, Anchor Big / Rim Protector, Guards SF ()"
CHI,High Pace + High Ball Movement + Transition Heavy,N. Vučević - Z. LaVine - L. Ball - C. White,97.626667,68.0,"Elite Post Up, High Roll Man, High Usage, Elite Iso, Elite Usage, High Playmaking, P&R Handler, Transition, Spot Up, P&R Handler, Transition, Spot Up","Anchor Big / Rim Protector, High High Difficulty, Versatile, Steals, High High Difficulty, Versatile, Steals, Guards SF ()","Elite P&R Handler, High Playmaking, High Usage, Elite Post Up, High Roll Man, High Usage, High Spot Up, Transition","Versatile, High Steals, Versatile, Disruptor"
CHI,High Pace + High Ball Movement + Transition Heavy,N. Vučević - L. Ball - C. White - J. Giddey,121.483333,53.0,"Elite Post Up, High Roll Man, High Usage, P&R Handler, Transition, Spot Up, P&R Handler, Transition, Spot Up, Elite P&R Handler, High Playmaking, High Usage","Anchor Big / Rim Protector, High High Difficulty, Versatile, Steals, Guards SF (), High Steals, Versatile, Disruptor","Elite Post Up, High Roll Man, High Usage, High Spot Up, Transition",Versatile
CHI,High Pace + High Ball Movement + Transition Heavy,K. Huerter - C. White - J. Giddey - M. Buzelis,156.615,49.0,"Elite Off-Screen, Spot Up, Transition, P&R Handler, Transition, Spot Up, Elite P&R Handler, High Playmaking, High Usage, High Spot Up, Transition","High Steals, Versatile, Disruptor, Guards SF (), High Steals, Versatile, Disruptor, Versatile","Elite Post Up, High Roll Man, High Usage","Anchor Big / Rim Protector, High High Difficulty, Versatile, Steals"
CHI,High Pace + High Ball Movement + Transition Heavy,N. Vučević - K. Huerter - C. White - J. Giddey,181.786667,49.0,"Elite Post Up, High Roll Man, High Usage, Elite Off-Screen, Spot Up, Transition, P&R Handler, Transition, Spot Up, Elite P&R Handler, High Playmaking, High Usage","Anchor Big / Rim Protector, High Steals, Versatile, Disruptor, Guards SF (), High Steals, Versatile, Disruptor","Elite Post Up, High Roll Man, High Usage, High Spot Up, Transition","Versatile, High High Difficulty, Versatile, Steals"
CHI,High Pace + High Ball Movement + Transition Heavy,N. Vučević - L. Ball - P. Williams - J. Giddey,103.06,42.0,"Elite Post Up, High Roll Man, High Usage, P&R Handler, Transition, Spot Up, High Spot Up, Transition, Elite P&R Handler, High Playmaking, High Usage","Anchor Big / Rim Protector, High High Difficulty, Versatile, Steals, High Steals, Versatile, Disruptor, High Steals, Versatile, Disruptor","Elite Post Up, High Roll Man, High Usage","Versatile, Guards SF ()"
SAS,High Pace + High Ball Movement + Transition Heavy,C. Paul - H. Barnes - V. Wembanyama - S. Castle,380.475,87.0,"Elite P&R Handler, High Playmaking, High Usage, High Spot Up, Transition, Elite Post Up, High Roll Man, High Usage, Elite P&R Handler, High Playmaking, High Usage","High Steals, Versatile, Disruptor, Versatile, Anchor Big / Rim Protector, High High Difficulty, Versatile, Steals","P&R Handler, Transition, Spot Up, Elite Post Up, High Roll Man, High Usage",Guards SF ()
SAS,High Pace + High Ball Movement + Transition Heavy,C. Paul - H. Barnes - D. Vassell - V. Wembanyama,389.998333,77.0,"Elite P&R Handler, High Playmaking, High Usage, High Spot Up, Transition, P&R Handler, Transition, Spot Up, Elite Post Up, High Roll Man, High Usage","High Steals, Versatile, Disruptor, Versatile, High Steals, Versatile, Disruptor, Anchor Big / Rim Protector","Elite Post Up, High Roll Man, High Usage","High High Difficulty, Versatile, Steals, Guards SF ()"
SAS,High Pace + High Ball Movement + Transition Heavy,C. Paul - H. Barnes - J. Champagnie - V. Wembanyama,343.48,64.0,"Elite P&R Handler, High Playmaking, High Usage, High Spot Up, Transition, High Spot Up, Transition, Elite Post Up, High Roll Man, High Usage","High Steals, Versatile, Disruptor, Versatile, High Steals, Versatile, Disruptor, Anchor Big / Rim Protector","P&R Handler, Transition, Spot Up, Elite Post Up, High Roll Man, High Usage","High High Difficulty, Versatile, Steals, Guards SF ()"
SAS,High Pace + High Ball Movement + Transition Heavy,C. Paul - H. Barnes - J. Sochan - V. Wembanyama,272.868333,62.0,"Elite P&R Handler, High Playmaking, High Usage, High Spot Up, Transition, Elite Cutter, Elite Roll Man, Post Up, Elite Post Up, High Roll Man, High Usage","High Steals, Versatile, Disruptor, Versatile, High High Difficulty, Versatile, Steals, Anchor Big / Rim Protector","P&R Handler, Transition, Spot Up, Elite Post Up, High Roll Man, High Usage",Guards SF ()
SAS,High Pace + High Ball Movement + Transition Heavy,C. Paul - K. Johnson - J. Champagnie - V. Wembanyama,124.581667,58.0,"Elite P&R Handler, High Playmaking, High Usage, High Spot Up, Transition, High Spot Up, Transition, Elite Post Up, High Roll Man, High Usage","High Steals, Versatile, Disruptor, Versatile, High Steals, Versatile, Disruptor, Anchor Big / Rim Protector","P&R Handler, Transition, Spot Up, Elite Post Up, High Roll Man, High Usage","High High Difficulty, Versatile, Steals, Guards SF ()"
NOP,High Pace + Rim/Midrange Focus + Transition Heavy,C. McCollum - J. Green - T. Murphy III - J. Alvarado,58.163333,19.0,"Elite P&R Handler, High Playmaking, High Usage, High Spot Up, Transition, P&R Handler, Transition, Spot Up, Elite P&R Handler, High Playmaking, High Usage","Guards SF (), High Steals, Versatile, Disruptor, High Steals, Versatile, Disruptor, Guards PG (High Disruptor)","Elite Off-Screen, Spot Up, Transition, Elite Cutter, Elite Roll Man, Post Up, Elite Post Up, High Roll Man, High Usage","Versatile, High High Difficulty, Versatile, Steals, Anchor Big / Rim Protector"
NOP,High Pace + Rim/Midrange Focus + Transition Heavy,C. McCollum - D. Murray - D. Theis - J. Green,61.321667,17.0,"Elite P&R Handler, High Playmaking, High Usage, Elite P&R Handler, High Playmaking, High Usage, Elite Cutter, Elite Roll Man, Post Up, High Spot Up, Transition","Guards SF (), High High Difficulty, Versatile, Steals, Guards C (High Rebounding), High Steals, Versatile, Disruptor","Elite Off-Screen, Spot Up, Transition, Elite Post Up, High Roll Man, High Usage","Versatile, Anchor Big / Rim Protector"
