PLAYER_ID,PLAYER_NAME,TEAM_ID,GP,MIN,STL,BLK,DREB_PCT,DEF_RATING,USG_PCT,DEFLECTIONS,CONTESTED_SHOTS,MIN_HUSTLE,DEF_PLAYER_ID,MATCHUP_DIFFICULTY,dPG_PCT,dSG_PCT,dSF_PCT,dPF_PCT,dC_PCT,VERSATILITY_RATING,DEFLECTIONS_PER_75
1630639,A.J. Lawson,1610612761,26,486.41,13,6,0.128,111.1,0.189,1.08,2.04,20.2,1630639,0.1839625112799082,0.2652245906378953,0.271751605470427,0.2151111344740277,0.1673544125248596,0.0805582568927905,1.5386741379144848,1.924752475247525
1631260,AJ Green,1610612749,73,1659.1416666666669,37,7,0.087,107.6,0.123,0.97,3.29,23.0,1631260,0.1910845042177223,0.2031436817936044,0.3387327286619805,0.2291684118873006,0.1477129359561143,0.0812422417009999,1.5145480430200369,1.5182608695652176
1642358,AJ Johnson,1610612764,29,638.3866666666667,12,3,0.073,115.6,0.173,1.14,3.59,28.0,1642358,0.1796907327657491,0.2896796258442649,0.2383324402812783,0.2816620029503793,0.1250206725012734,0.0653052584228039,1.495726026016175,1.4657142857142855
203932,Aaron Gordon,1610612743,51,1446.7166666666667,23,14,0.109,113.0,0.186,0.94,3.24,28.4,203932,0.2058798633092303,0.1144261422512641,0.1697876027021058,0.2857227793412343,0.1969672089375605,0.2330962667678352,1.5665340654170232,1.191549295774648
1628988,Aaron Holiday,1610612745,62,792.2466666666667,19,11,0.073,103.6,0.162,0.88,1.93,13.6,1628988,0.192642409081331,0.2668586526045071,0.3551055472409675,0.1989701917518086,0.1129547284191416,0.0661108799835749,1.4673554266474294,2.3294117647058825
1630174,Aaron Nesmith,1610612754,45,1121.618333333333,35,17,0.118,111.5,0.171,1.29,5.07,24.9,1630174,0.2030902450120708,0.1364847115109444,0.2595337506145481,0.2362212813419529,0.2413101064727507,0.1264501500598037,1.5673071922527124,1.8650602409638557
1630598,Aaron Wiggins,1610612760,76,1743.9,60,18,0.113,106.6,0.2,1.75,4.45,22.9,1630598,0.1883133196375302,0.1769666610382544,0.2914837432693571,0.248567100054408,0.1729282752668805,0.1100542203710999,1.5581522357588549,2.751091703056769
1641745,Adam Flagler,1610612760,37,202.965,8,3,0.086,96.7,0.207,0.69,1.44,9.7,1641745,0.1772541535022675,0.1936509983450469,0.4363272938293894,0.2169278053603284,0.1058955015367421,0.0471984009284931,1.3931798179424095,2.560824742268041
1641766,Adama Sanogo,1610612741,4,21.498333333333335,0,0,0.053,122.2,0.145,0.33,3.0,7.0,1641766,0.2188862036156041,0.0304471931493815,0.0367269267364414,0.1764034253092293,0.045290199809705,0.7111322549952426,0.9163065481071186,1.6971428571428573
1641737,Adem Bona,1610612755,58,904.55,26,69,0.164,114.0,0.135,1.09,5.38,17.0,1641737,0.1813884942073992,0.0554492042559426,0.1013976924131346,0.1129072663934619,0.2228934170908901,0.5073524198465705,1.3175569162485448,2.308235294117647
1642349,Ajay Mitchell,1610612760,36,596.955,25,4,0.08,100.2,0.159,1.33,2.25,16.6,1642349,0.18567907346037,0.2645125655896161,0.3069317867992268,0.2126760563380281,0.1416321458160729,0.074247445457056,1.5134046893946498,2.8843373493975903
201143,Al Horford,1610612738,60,1658.5733333333333,36,51,0.165,108.1,0.136,1.3,7.08,27.6,201143,0.1999477509163718,0.0747743500646227,0.1587071212153314,0.2002590207004682,0.2179773078797381,0.3482822001398394,1.5074942842172816,1.6956521739130437
202692,Alec Burks,1610612748,49,863.4966666666667,28,7,0.119,107.6,0.16,1.02,2.32,17.8,202692,0.182491925760381,0.1476367525463745,0.3170469622596772,0.3184746472407339,0.1446300378866226,0.0722116000665916,1.480461812428069,2.0629213483146067
1627936,Alex Caruso,1610612760,54,1040.635,87,30,0.108,102.5,0.147,3.51,3.09,19.6,1627936,0.2114637925504033,0.2143343321415439,0.2420219216235458,0.2300401348782262,0.158157237969316,0.155446373387368,1.5925534625395654,6.446938775510203
1642505,Alex Ducas,1610612760,21,125.34166666666668,5,0,0.119,106.3,0.115,0.47,0.53,6.5,1642505,0.1610664735698769,0.0792541636495293,0.2282404055032585,0.410427226647357,0.2143374366401158,0.0677407675597393,1.4161038446387226,2.603076923076923
203458,Alex Len,1610612747,46,379.79,9,21,0.142,118.9,0.101,0.54,3.62,9.4,203458,0.1736275180157533,0.0503212111055248,0.0588347019719568,0.0774817049326853,0.153924361767499,0.659438020222334,1.077888872151603,2.068085106382979
1642024,Alex Reese,1610612755,15,216.04666666666665,10,10,0.161,111.8,0.123,1.0,5.33,14.4,1642024,0.1635833317367563,0.0601781779863971,0.1429830443529073,0.2952390075677746,0.2444487019829485,0.2571510681099722,1.5010181907089442,2.5
1642259,Alex Sarr,1610612764,67,1814.2283333333332,44,101,0.158,116.4,0.23,1.49,9.12,27.1,1642259,0.1926794109278483,0.0487765142128112,0.0982414112766289,0.0886820680856531,0.1832521041569145,0.581047902267992,1.21655469254954,1.9793357933579336
1631214,Alondes Williams,1610612746,1,3.716666666666667,0,0,0.0,85.7,0.286,0.0,0.0,0.0,1631214,0.1850829187396351,0.072139303482587,0.0,0.7827529021558872,0.1011608623548921,0.0439469320066334,0.7504796790781579,0.0
1630578,Alperen Sengun,1610612745,76,2394.9766666666665,84,61,0.21,107.4,0.259,2.44,9.05,31.9,1630578,0.1763929378727071,0.0776837653967083,0.1321040311713731,0.1556925369101048,0.196013380027096,0.4385062864947178,1.4363734207899734,2.7536050156739815
