"From                     	                          To","Player  (153)","Pos","Yrs","Value                                                                         $2,169,115,299","AAV                                                                         $8,310,787",""
"PHI","David Duke Jr.","SG","1","$2,019,706","$2,019,706","Official"
"SAS","Sandro Mamukelashvili","C","1","$2,019,706","$2,019,706","Official"
"ORL","Mac McClung","PG","1","$2,019,706","$2,019,706","Official"
"MIN","Daishen Nix","PG","1","$2,019,706","$2,019,706","Official"
"BKN","Trendon Watford","PF","1","$2,019,706","$2,019,706","Official"
"OKC","Jack White","SF","2","$3,922,463","$1,961,232","Official"
"MIA","Orlando Robinson","C","2","$3,922,462","$1,961,231","Official"
"MIN","Trevor Keels","SG","1","$1,801,769","$1,801,769","Official"
"MIA","Dru Smith","SG","1","$0","$0","Official"
"ORL","Admiral Schofield","SF","1","$0","$0","Official"
"NYK","Nathan Knight","PF","1","$0","$0","Official"
"GSW","Lester Quinones","SG","1","$0","$0","Official"
"WAS","Jared Butler","PG","1","$0","$0","Official"
"DEN","Jay Huff","C","1","$0","$0","Official"
"LAC","Xavier Moon","SG","1","$0","$0","Official"
"NYK","Duane Washington Jr.","PG","1","$0","$0","Official"
"OKC","Olivier Sarr","C","1","$0","$0","Official"
"PHX","Saben Lee","PG","1","$0","$0","Official"
"DET","Jared Rhoden","SG","1","$0","$0","Official"
"MIN","Matt Ryan","SF","1","$0","$0","Official"
"POR","Ibou Badji","C","1","$0","$0","Official"
"WAS","John Butler Jr.","C","1","$0","$0","Official"
"CHA","Theo Maledon","PG","1","$0","$0","Official"
"HOU","Darius Days","SF","1","$0","$0","Official"
"IND","Kendall Brown","SF","1","$0","$0","Official"
"MIN","Luka Garza","C","1","$0","$0","Official"
"ATL","Trent Forrest","PG","1","$0","$0","Official"
"LAC","Moussa Diabate","PF","1","$0","$0","Official"
"PHI","Jeff Dowtin","PG","1","$0","$0","Official"
"MIA","Jamal Cain","SF","1","$0","$0","Official"
"UTA","Johnny Juzang","SG","1","$0","$0","Official"
"TOR","Ron Harper Jr.","SG","1","$0","$0","Official"
"SAS","Dominick Barlow","PF","1","$0","$0","Official"
"BOS","J.D. Davison","PG","1","$0","$0","Official"
"DEN","Collin Gillespie","PG","1","$0","$0","Official"
"SAC","Keon Ellis","SF","1","$0","$0","Official"
"BOS","Neemias Queta","C","1","$0","$0","Official"
"CLE","Isaiah Mobley","PF","1","$0","$0","Official"
"DET","Buddy Boeheim","SG","2","$0","$0","Official"
"MEM","Scotty Pippen Jr.","PG","2","$0","$0","Official"
"HOU","Trevor Hudgins","PG","1","$0","$0","Official"
"OKC","Lindy Waters III","SF","1","$0","$0","Official"
"PHX","Udoka Azubuike","C","1","$0","$0","Official"
"NYK","Dylan Windler","SF","1","$0","$0","Official"

