Player,Baseline_AAV,Type,Prev Team,Live_AAV_2026-01-04,Live_AAV_2026-01-05
Danny Wolf,,,,,3526159.4859727346
Dario Šarić,,,,,2472286.0641431618
Darius Garland,,,,,7554351.509562493
David Jones Garcia,,,,,3062494.0459748874
Davion Mitchell,,,,,9918203.943820102
Day'Ron Sharpe,8009925.90128206,CLUB / $6.3M,BKN,4060224.625263705,4683722.803324068
De'Aaron Fox,,,,,14178577.910527106
De'Andre Hunter,,,,,8748799.936369868
De'Anthony Melton,3901931.715681571,PLAYER / $3.5M,GSW,4386466.835280468,4513225.595322583
DeAndre Jordan,643942.6989195724,UFA / Non-Bird,NOP,2381392.197255672,2381392.197255672
DeMar DeRozan,,,,,7186961.442081809
Dean Wade,9358560.797383502,UFA / Bird,CLE,3883812.6809881497,3883812.6809881497
Deandre Ayton,8498730.317408346,PLAYER / $8.1M,LAL,8389197.943340043,8771781.527298922
Deni Avdija,,,,,20108172.009770237
Dennis Schröder,,,,,4060688.0184632875
Dereck Lively II,,,,,3271656.667456383
Derik Queen,,,,,7316922.49031221
Derrick Jones Jr.,,,,,4176125.8373022825
Derrick White,,,,,17459177.297643166
Desmond Bane,,,,,15961717.776027571
Devin Booker,,,,,19579887.083581116
Devin Carter,,,,,2189818.742280185
Devin Vassell,,,,,12684686.655004928
Dillon Brooks,,,,,11896482.591653747
Domantas Sabonis,,,,,2668927.1966181635
Dominick Barlow,1950000.114287172,UFA / Two-Way,PHI,4541643.461588761,4673446.607665439
Donovan Clingan,,,,,8117762.49738665
Donovan Mitchell,,,,,25331647.979068004
Donte DiVincenzo,,,,,14137454.969936047
Dorian Finney-Smith,,,,,3391498.295664044
Doug McDermott,1147173.294069211,UFA / Early Bird,SAC,2263746.5279141674,2269403.2387447744
Drake Powell,,,,,1747803.912536879
Draymond Green,16931681.48316379,PLAYER / $27.7M,GSW,6887777.633923266,6651569.410106213
Drew Eubanks,-280572.9481792959,UFA / Non-Bird,SAC,473977.9581071866,607514.0898050371
Drew Peterson,,,,,2135702.0063621174
Drew Timme,2817395.2048155274,RFA / Two-Way,LAL,2665886.1327531864,2665886.1327531864
Dru Smith,,,,,4290770.528697707
Duncan Robinson,,,,,10410450.738228263
Duop Reath,387065.99367472355,RFA / Bird,POR,-40270.315017194866,-40270.315017194866
Dwight Powell,-1036509.5121226652,UFA / Bird,DAL,2281747.7320406307,2281747.7320406307
Dylan Cardwell,,,,,2934332.6607983285
Dylan Harper,,,,,7971136.651507078
Dyson Daniels,,,,,9274338.295411881
E.J. Liddell,1674187.2587925317,RFA / Two-Way,BKN,2466214.237915816,2494497.79206885
Egor Dëmin,,,,,5710056.941765201
Elijah Harkless,3063793.0701302104,RFA / Two-Way,UTA,2844864.478051861,2844864.478051861
Emanuel Miller,2168975.7880951636,RFA / Two-Way,CHI,2100063.9878301932,2100063.9878301932
Enrique Freeman,861566.9957560402,RFA / Two-Way,MIN,,
Eric Gordon,2575517.548577172,UFA / Early Bird,PHI,2192916.2833121098,2192916.2833121098
Ethan Thompson,,,,,2871554.1899453565
Evan Mobley,,,,,14596889.233293124
Franz Wagner,,,,,13089620.92928885
Fred VanVleet,21101878.813317724,PLAYER / $25.0M,HOU,,
GG Jackson,,,,,2545396.2858578344
Gabe Vincent,5196105.353392915,UFA / Bird,LAL,3156821.4572677547,3156821.4572677547
Garrett Temple,105764.68485156135,UFA / Bird,TOR,1328844.9461667077,1328844.9461667077
Garrison Mathews,,,,,2680897.573034045
Gary Harris,2086945.6695055692,PLAYER / $3.8M,MIL,1290908.3374490768,1088524.626662724
Gary Payton II,5390764.673584315,UFA / Bird,GSW,1250423.3619846937,1372042.1990908545
Gary Trent Jr.,13032088.369707802,PLAYER / $3.9M,MIL,1725970.807704009,1790756.0409059143
Georges Niang,14666151.064616898,UFA / Bird,BOS,,
Giannis Antetokounmpo,,,,,17571936.125805203
Goga Bitadze,,,,,4285555.558038996
Gradey Dick,,,,,4639398.814521713
Grayson Allen,,,,,6472045.099783485
Guerschon Yabusele,9932389.948704071,PLAYER / $5.8M,NYK,1372922.5603305737,1191207.2586942976
Gui Santos,4946366.880623169,RFA / Bird,GSW,2058259.055514858,2033843.7296065725
Harrison Barnes,14906502.652632354,UFA / Bird,SAS,9435662.12775817,9698285.929101113
Harrison Ingram,3194127.7857706305,RFA / Two-Way,SAS,3009556.064831714,3009556.064831714
Haywood Highsmith,6530565.631231888,UFA / Bird,BKN,,
Herbert Jones,,,,,3789967.3687333143
Hugo González,,,,,5432154.051761674
Hunter Dickinson,,,,,2002678.1546154332
Hunter Sallis,,,,,1796956.2141939327
Hunter Tyson,-2521660.175635375,CLUB / $2.4M,DEN,1516056.028375963,1516056.028375963
Immanuel Quickley,,,,,13186014.58757245
Isaac Jones,-494872.883497051,RFA / Non-Bird,DET,2201590.697429745,2201590.697429745
Isaac Okoro,,,,,3170071.8273644405
Isaiah Collier,,,,,1120262.7165816987
Isaiah Crawford,1765628.2375472488,RFA / Two-Way,HOU,2765564.695509232,2765564.695509232
Isaiah Hartenstein,21381830.457500342,CLUB / $28.5M,OKC,10397153.877065662,10397153.877065662
