Player,Baseline_AAV,Type,Prev Team,Live_AAV_2026-01-04,Live_AAV_2026-01-05
Seth Curry,637246.3286213991,UFA / Non-Bird,GSW,3145129.5894899354,3145129.589489936
Shaedon Sharpe,,,,,12356130.238970594
Shai Gilgeous-Alexander,,,,,32221220.903243255
Sharife Cooper,,,,,2184384.137374233
Sidy Cissoko,970845.6745981288,RFA / Two-Way,WAS,2659535.482555494,2782504.2861097264
Simone Fontecchio,4029827.826269613,UFA / Bird,MIA,5282391.33670993,4777922.484665188
Sion James,,,,,2364173.030639934
Spencer Jones,66739.58799511802,RFA / Two-Way,DEN,5074885.235601051,4789200.429676453
Stephen Curry,,,,,16686203.437149515
Stephon Castle,,,,,12388353.34657765
Steven Adams,,,,,7694246.847734594
Svi Mykhailiuk,,,,,4125246.44323375
T.J. McConnell,,,,,4255114.66506166
Taelon Peter,,,,,747597.0949953934
Tari Eason,14962537.14765564,RFA / Bird,HOU,6880170.399848575,7389314.578376914
Taurean Prince,7920847.333557354,PLAYER / $3.8M,MIL,3328382.547513746,3328382.547513746
Taylor Hendricks,,,,,1281940.7406031536
Terance Mann,,,,,3657342.5725881774
Terrence Shannon Jr.,,,,,588849.171300923
Terry Rozier,7740384.990530365,UFA / Bird,MIA,,
Thanasis Antetokounmpo,,,,,2099420.8969876533
Thomas Bryant,4077952.273149543,UFA / Non-Bird,CLE,1949194.301836189,1759320.2800771056
Tidjane Salaün,,,,,4552513.287982647
Tim Hardaway Jr.,12490608.45566422,UFA / Non-Bird,DEN,10056239.269705584,10683140.012325075
Tobias Harris,21195690.13674371,UFA / Early Bird,DET,7324586.706273089,7324586.706273089
Tolu Smith,,,,,2799193.61864007
Tony Bradley,3383323.9537875024,UFA / Early Bird,IND,-8493.51762680264,-96411.68708922074
Tosan Evbuomwan,4215739.900320175,RFA / Two-Way,NYK,2324616.763185059,2324616.763185059
Toumani Camara,,,,,7574801.911909873
Trae Young,38155799.00505996,PLAYER / $49.0M,ATL,5101372.811010609,5101372.811010609
Trayce Jackson-Davis,4135635.573503624,CLUB / $2.4M,GSW,2051988.1408631315,2324949.144736702
Tre Johnson,,,,,4953994.095021985
Tre Jones,,,,,6390740.186640226
Tre Mann,,,,,1818727.9795036856
Trendon Watford,6394210.242325726,CLUB / $2.8M,PHI,4400854.727957695,4400854.727957695
Trentyn Flowers,2060128.4194050329,RFA / Two-Way,CHI,2353126.2911028615,2353126.2911028615
Trey Alexander,-45830.61759897655,RFA / Two-Way,NOP,2972932.246280151,2801535.2247590222
Trey Jemison III,,,,,2347547.829532886
Trey Murphy III,,,,,10401456.505386723
Tristan Vukcevic,3292108.9674174446,RFA / Two-Way,WAS,679073.3959684676,853524.4544023536
Tristan da Silva,,,,,6304763.75209367
Tyler Herro,,,,,5208284.968326141
Tyler Kolek,,,,,3970994.159838923
Tyrese Martin,2254828.124899067,RFA / Early Bird,BKN,1683415.1825802634,1680586.8271649596
Tyrese Maxey,,,,,21844715.753491424
Tyrese Proctor,,,,,1235048.1729857912
Tyson Etienne,1693712.2989989822,RFA / Two-Way,BKN,2345576.101858042,2345576.101858042
Tyus Jones,11146425.06184984,UFA / Non-Bird,ORL,-177905.94134266983,7078.147424239408
VJ Edgecombe,,,,,11841795.461384138
Victor Wembanyama,,,,,15839119.689626504
Vince Williams Jr.,,,,,5689522.993054846
Vladislav Goldin,,,,,3266465.415613404
Vít Krejčí,,,,,6303930.699371071
Walker Kessler,6542879.782780704,RFA / Bird,UTA,4313735.250853197,4313735.250853197
Walter Clayton Jr.,,,,,2693494.743978329
Wendell Carter Jr.,,,,,10441401.95100426
Wendell Moore Jr.,-746141.2792374988,RFA / Two-Way,DET,3492726.114416915,3492726.114416915
Will Richard,,,,,4654467.194944112
Will Riley,,,,,768731.4786700062
Xavier Tillman,-671406.0454350983,UFA / Bird,BOS,1908944.955037564,1908944.9550375638
Yang Hansen,,,,,1106171.3052973943
Yanic Konan Niederhäuser,,,,,2625012.981251358
Yves Missi,,,,,2300116.077899705
Zaccharie Risacher,,,,,6641804.817423942
Zach Collins,4394076.940287633,UFA / Bird,CHI,4197801.458782527,4197801.458782527
Zach Edey,,,,,7441330.215047485
Zach LaVine,30769370.19703965,PLAYER / $49.0M,SAC,5711421.309810903,5918646.813664777
Zeke Nnaji,,,,,-328224.8094242342
Ziaire Williams,2880935.331170335,CLUB / $6.3M,BKN,1911805.2785900435,2037175.936916796
Zion Williamson,,,,,8531467.441170836
