SNAPSHOT_TIME,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,Offensive Archetype,Defensive Archetype,Off_Cluster,Def_Cluster,USG_PCT,AST_PCT,DEF_RATING
2026-01-13 17:52,1630621,Hunter Dickinson,NOP,Off_Cluster_0,Def_Cluster_2,0,2,0.333,0.0,180.0
2026-01-13 17:52,1642282,Hunter Sallis,PHI,Off_Cluster_0,Def_Cluster_2,0,2,0.169,0.235,112.3
2026-01-13 17:52,1641816,Hunter Tyson,DEN,Off_Cluster_0,Def_Cluster_0,0,0,0.172,0.156,103.5
2026-01-13 17:52,1630193,Immanuel Quickley,TOR,Off_Cluster_7,Def_Cluster_2,7,2,0.213,0.263,111.0
2026-01-13 17:52,1642403,Isaac Jones,DET,Off_Cluster_0,Def_Cluster_2,0,2,0.119,0.1,122.2
2026-01-13 17:52,1630171,Isaac Okoro,CHI,Off_Cluster_1,Def_Cluster_2,1,2,0.137,0.068,119.9
2026-01-13 17:52,1642268,Isaiah Collier,UTA,Off_Cluster_4,Def_Cluster_2,4,2,0.171,0.413,125.5
2026-01-13 17:52,1642384,Isaiah Crawford,HOU,Off_Cluster_0,Def_Cluster_0,0,0,0.1,0.0,75.0
2026-01-13 17:52,1628392,Isaiah Hartenstein,OKC,Off_Cluster_5,Def_Cluster_3,5,3,0.163,0.148,104.3
2026-01-13 17:52,1630543,Isaiah Jackson,IND,Off_Cluster_5,Def_Cluster_3,5,3,0.153,0.066,116.4
2026-01-13 17:52,1630198,Isaiah Joe,OKC,Off_Cluster_2,Def_Cluster_2,2,2,0.174,0.095,106.7
2026-01-13 17:52,1630587,Isaiah Livers,PHX,Off_Cluster_0,Def_Cluster_2,0,2,0.095,0.072,103.8
2026-01-13 17:52,1630191,Isaiah Stewart,DET,Off_Cluster_3,Def_Cluster_1,3,1,0.165,0.067,109.5
2026-01-13 17:52,1627826,Ivica Zubac,LAC,Off_Cluster_3,Def_Cluster_3,3,3,0.188,0.119,117.3
2026-01-13 17:52,1631120,JD Davison,HOU,Off_Cluster_0,Def_Cluster_2,0,2,0.135,0.238,125.4
2026-01-13 17:52,1629630,Ja Morant,MEM,Off_Cluster_4,Def_Cluster_2,4,2,0.307,0.43,114.8
2026-01-13 17:52,1642266,Ja'Kobe Walter,TOR,Off_Cluster_1,Def_Cluster_2,1,2,0.135,0.07,114.3
2026-01-13 17:52,1631095,Jabari Smith Jr.,HOU,Off_Cluster_6,Def_Cluster_3,6,3,0.178,0.072,112.3
2026-01-13 17:52,1631133,Jabari Walker,PHI,Off_Cluster_1,Def_Cluster_2,1,2,0.135,0.049,113.4
2026-01-13 17:52,1631210,Jacob Toppin,ATL,Off_Cluster_0,Def_Cluster_0,0,0,0.14,0.091,71.4
2026-01-13 17:52,1630702,Jaden Hardy,DAL,Off_Cluster_4,Def_Cluster_2,4,2,0.229,0.073,103.3
2026-01-13 17:52,1631093,Jaden Ivey,DET,Off_Cluster_4,Def_Cluster_2,4,2,0.196,0.146,107.0
2026-01-13 17:52,1630183,Jaden McDaniels,MIN,Off_Cluster_2,Def_Cluster_4,2,4,0.179,0.115,111.3
2026-01-13 17:52,1630256,Jae'Sean Tate,HOU,Off_Cluster_0,Def_Cluster_2,0,2,0.131,0.115,119.8
2026-01-13 17:52,1642942,Jahmai Mashack,MEM,Off_Cluster_0,Def_Cluster_3,0,3,0.18,0.167,109.3
2026-01-13 17:52,1642443,Jahmir Young,MIA,Off_Cluster_0,Def_Cluster_2,0,2,0.191,0.2,130.6
2026-01-13 17:52,1643141,Jahmyl Telfort,LAC,Off_Cluster_0,Def_Cluster_2,0,2,0.093,0.05,102.9
2026-01-13 17:52,1631170,Jaime Jaquez Jr.,MIA,Off_Cluster_6,Def_Cluster_3,6,3,0.218,0.231,108.1
2026-01-13 17:52,1631222,Jake LaRavia,LAL,Off_Cluster_1,Def_Cluster_4,1,4,0.144,0.099,117.3
2026-01-13 17:52,1627751,Jakob Poeltl,TOR,Off_Cluster_5,Def_Cluster_3,5,3,0.141,0.114,112.5
2026-01-13 17:52,1628973,Jalen Brunson,NYK,Off_Cluster_7,Def_Cluster_2,7,2,0.307,0.286,119.0
2026-01-13 17:52,1631105,Jalen Duren,DET,Off_Cluster_3,Def_Cluster_3,3,3,0.222,0.09,110.3
2026-01-13 17:52,1630224,Jalen Green,PHX,Off_Cluster_0,Def_Cluster_0,0,0,0.37,0.174,92.1
2026-01-13 17:52,1630552,Jalen Johnson,ATL,Off_Cluster_6,Def_Cluster_3,6,3,0.261,0.342,114.8
2026-01-13 17:52,1629618,Jalen Pickett,DEN,Off_Cluster_1,Def_Cluster_2,1,2,0.148,0.212,113.5
2026-01-13 17:52,1630188,Jalen Smith,CHI,Off_Cluster_1,Def_Cluster_3,1,3,0.191,0.097,112.6
2026-01-13 17:52,1630591,Jalen Suggs,ORL,Off_Cluster_4,Def_Cluster_2,4,2,0.238,0.256,106.1
2026-01-13 17:52,1631114,Jalen Williams,OKC,Off_Cluster_4,Def_Cluster_2,4,2,0.249,0.272,106.0
2026-01-13 17:52,1630592,Jalen Wilson,BKN,Off_Cluster_1,Def_Cluster_2,1,2,0.156,0.055,115.7
2026-01-13 17:52,1631288,Jamal Cain,ORL,Off_Cluster_0,Def_Cluster_2,0,2,0.163,0.06,116.0
2026-01-13 17:52,1627750,Jamal Murray,DEN,Off_Cluster_7,Def_Cluster_2,7,2,0.27,0.309,117.9
2026-01-13 17:52,1642347,Jamal Shead,TOR,Off_Cluster_4,Def_Cluster_2,4,2,0.16,0.33,109.5
2026-01-13 17:52,1631123,Jamaree Bouyea,PHX,Off_Cluster_0,Def_Cluster_2,0,2,0.177,0.17,107.3
2026-01-13 17:52,201935,James Harden,LAC,Off_Cluster_7,Def_Cluster_2,7,2,0.297,0.352,119.4
2026-01-13 17:52,1630164,James Wiseman,IND,Off_Cluster_0,Def_Cluster_2,0,2,0.114,0.075,102.4
2026-01-13 17:52,1642364,Jamir Watkins,WAS,Off_Cluster_0,Def_Cluster_2,0,2,0.094,0.058,116.2
2026-01-13 17:52,1642419,Jamison Battle,TOR,Off_Cluster_0,Def_Cluster_0,0,0,0.142,0.057,100.2
2026-01-13 17:52,1641716,Jarace Walker,IND,Off_Cluster_2,Def_Cluster_3,2,3,0.183,0.117,115.7
2026-01-13 17:52,1642272,Jared McCain,PHI,Off_Cluster_4,Def_Cluster_2,4,2,0.18,0.132,108.5
2026-01-13 17:52,1628991,Jaren Jackson Jr.,MEM,Off_Cluster_6,Def_Cluster_1,6,1,0.243,0.103,111.0
2026-01-13 17:52,1629020,Jarred Vanderbilt,LAL,Off_Cluster_1,Def_Cluster_3,1,3,0.12,0.093,114.1
2026-01-13 17:52,1628386,Jarrett Allen,CLE,Off_Cluster_3,Def_Cluster_3,3,3,0.191,0.108,113.6
2026-01-13 17:52,1642859,Jase Richardson,ORL,Off_Cluster_1,Def_Cluster_2,1,2,0.181,0.164,112.5
2026-01-13 17:52,1642914,Javon Small,MEM,Off_Cluster_4,Def_Cluster_2,4,2,0.179,0.351,113.6
2026-01-13 17:52,1631451,Javonte Cooke,POR,Off_Cluster_0,Def_Cluster_0,0,0,0.188,0.217,98.6
2026-01-13 17:52,1629750,Javonte Green,DET,Off_Cluster_1,Def_Cluster_4,1,4,0.141,0.057,104.3
2026-01-13 17:52,1629637,Jaxson Hayes,LAL,Off_Cluster_5,Def_Cluster_3,5,3,0.11,0.074,117.8
2026-01-13 17:52,1630643,Jay Huff,IND,Off_Cluster_3,Def_Cluster_1,3,1,0.168,0.107,108.8
2026-01-13 17:52,1627759,Jaylen Brown,BOS,Off_Cluster_7,Def_Cluster_3,7,3,0.356,0.246,115.7
2026-01-13 17:52,1641740,Jaylen Clark,MIN,Off_Cluster_1,Def_Cluster_2,1,2,0.126,0.052,107.9
2026-01-13 17:52,1642377,Jaylen Wells,MEM,Off_Cluster_2,Def_Cluster_2,2,2,0.181,0.092,114.6
2026-01-13 17:52,1631119,Jaylin Williams,OKC,Off_Cluster_1,Def_Cluster_3,1,3,0.152,0.17,99.3
2026-01-13 17:52,1642281,Jaylon Tyson,CLE,Off_Cluster_1,Def_Cluster_3,1,3,0.172,0.098,114.1
2026-01-13 17:52,201145,Jeff Green,HOU,Off_Cluster_0,Def_Cluster_2,0,2,0.162,0.057,138.2
2026-01-13 17:52,203924,Jerami Grant,POR,Off_Cluster_2,Def_Cluster_2,2,2,0.237,0.137,120.0
2026-01-13 17:52,1642847,Jeremiah Fears,NOP,Off_Cluster_7,Def_Cluster_4,7,4,0.245,0.174,122.0
