"From                     	                          To","Player  (156)","Pos","Yrs","Value                                                                         $2,833,806,311","AAV                                                                         $10,380,243",""
"MIA","Thomas Bryant","C","1","$2,800,834","$2,800,834","Official"
"BOS","Luke Kornet","C","1","$2,800,834","$2,800,834","Official"
"PHX","Monte Morris","PG","1","$2,800,834","$2,800,834","Official"
"CHA","DaQuan Jeffries","SG","3","$8,250,098","$2,750,033","Official"
"BKN","Trendon Watford","PF","1","$2,726,603","$2,726,603","Official"
"LAC","Mohamed Bamba","C","1","$2,613,120","$2,613,120","Official"
"BOS","Lonnie Walker IV","SG","1","$2,613,120","$2,613,120","Official"
"POR","Devonte' Graham","PG","1","$2,613,120","$2,613,120","Official"
"MIL","Gary Trent Jr.","SG","1","$2,613,120","$2,613,120","Official"
"NYK","Landry Shamet","SG","1","$2,613,120","$2,613,120","Official"
"CHA","Charlie Brown Jr.","SG","3","$7,658,796","$2,552,932","Official"
"ATL","Vit Krejci","PG","4","$10,185,213","$2,546,303","Official"
"NOP","Javonte Green","SG","1","$2,425,403","$2,425,403","Official"
"DEN","Vlatko Cancar","PF","1","$2,425,403","$2,425,403","Official"
"NYK","Moses Brown","C","1","$2,425,403","$2,425,403","Official"
"PHX","Bol Bol","PF","1","$2,425,403","$2,425,403","Official"
"SAC","Jordan McLaughlin","PG","1","$2,425,403","$2,425,403","Official"
"CHI","Talen Horton-Tucker","SG","1","$2,425,403","$2,425,403","Official"
"BOS","Neemias Queta","C","3","$7,180,128","$2,393,376","Official"
"WAS","Anthony Gill","PF","2","$4,784,366","$2,392,183","Official"
"BOS","Xavier Tillman","C","2","$4,784,366","$2,392,183","Official"
"IND","James Wiseman","C","2","$4,784,366","$2,392,183","Official"
"BKN","Keon Johnson","SG","2","$4,512,184","$2,256,092","Official"
"MIN","Luka Garza","C","2","$4,512,184","$2,256,092","Official"
"MIN","Skylar Mays","SG","1","$2,237,691","$2,237,691","Official"
"DET","Lamar Stevens","SF","1","$2,237,691","$2,237,691","Official"
