PLAYER_ID,PLAYER_NAME,Archetype_Name,Cluster,DEFLECTIONS_PER_75,STL_PER_75,BLK_PER_75,DREB_PCT,VERSATILITY_RATING,MATCHUP_DIFFICULTY,dPG_PCT,dSG_PCT,dSF_PCT,dPF_PCT,dC_PCT
1630639,A.J. Lawson,Guards SF (),2,1.924752475247525,23.168316831683168,10.693069306930692,0.128,1.5386741379144848,0.1839625112799082,0.2652245906378953,0.271751605470427,0.2151111344740277,0.1673544125248596,0.0805582568927905
1631260,AJ Green,Guards SF (),2,1.5182608695652176,57.913043478260875,10.956521739130435,0.087,1.5145480430200369,0.1910845042177223,0.2031436817936044,0.3387327286619805,0.2291684118873006,0.1477129359561143,0.0812422417009999
1642358,AJ Johnson,Guards SF (),2,1.4657142857142855,15.428571428571427,3.8571428571428568,0.073,1.495726026016175,0.1796907327657491,0.2896796258442649,0.2383324402812783,0.2816620029503793,0.1250206725012734,0.0653052584228039
203932,Aaron Gordon,Versatile,6,1.191549295774648,29.15492957746479,17.746478873239436,0.109,1.5665340654170232,0.2058798633092303,0.1144261422512641,0.1697876027021058,0.2857227793412343,0.1969672089375605,0.2330962667678352
1628988,Aaron Holiday,Guards PG (High Disruptor),5,2.3294117647058825,50.294117647058826,29.11764705882353,0.073,1.4673554266474294,0.192642409081331,0.2668586526045071,0.3551055472409675,0.1989701917518086,0.1129547284191416,0.0661108799835749
1630174,Aaron Nesmith,Versatile,6,1.8650602409638557,50.60240963855422,24.57831325301205,0.118,1.5673071922527124,0.2030902450120708,0.1364847115109444,0.2595337506145481,0.2362212813419529,0.2413101064727507,0.1264501500598037
1630598,Aaron Wiggins,"High Steals, Versatile, Disruptor",3,2.751091703056769,94.3231441048035,28.29694323144105,0.113,1.5581522357588549,0.1883133196375302,0.1769666610382544,0.2914837432693571,0.248567100054408,0.1729282752668805,0.1100542203710999
1641745,Adam Flagler,Guards SF (),2,2.560824742268041,29.690721649484537,11.1340206185567,0.086,1.3931798179424095,0.1772541535022675,0.1936509983450469,0.4363272938293894,0.2169278053603284,0.1058955015367421,0.0471984009284931
1641737,Adem Bona,Anchor Big / Rim Protector,4,2.308235294117647,55.05882352941176,146.11764705882354,0.164,1.3175569162485448,0.1813884942073992,0.0554492042559426,0.1013976924131346,0.1129072663934619,0.2228934170908901,0.5073524198465705
1642349,Ajay Mitchell,Guards PG (High Disruptor),5,2.8843373493975903,54.21686746987951,8.674698795180722,0.08,1.5134046893946498,0.18567907346037,0.2645125655896161,0.3069317867992268,0.2126760563380281,0.1416321458160729,0.074247445457056
201143,Al Horford,Versatile,6,1.6956521739130437,46.95652173913044,66.52173913043478,0.165,1.5074942842172816,0.1999477509163718,0.0747743500646227,0.1587071212153314,0.2002590207004682,0.2179773078797381,0.3482822001398394
202692,Alec Burks,Guards SF (),2,2.0629213483146067,56.62921348314606,14.157303370786515,0.119,1.480461812428069,0.182491925760381,0.1476367525463745,0.3170469622596772,0.3184746472407339,0.1446300378866226,0.0722116000665916
1627936,Alex Caruso,Point of Attack Stopper,0,6.446938775510203,159.79591836734693,55.10204081632653,0.108,1.5925534625395654,0.2114637925504033,0.2143343321415439,0.2420219216235458,0.2300401348782262,0.158157237969316,0.155446373387368
1642505,Alex Ducas,Guards SF (),2,2.603076923076923,27.692307692307693,0.0,0.119,1.4161038446387226,0.1610664735698769,0.0792541636495293,0.2282404055032585,0.410427226647357,0.2143374366401158,0.0677407675597393
203458,Alex Len,Anchor Big / Rim Protector,4,2.068085106382979,34.46808510638298,80.42553191489361,0.142,1.077888872151603,0.1736275180157533,0.0503212111055248,0.0588347019719568,0.0774817049326853,0.153924361767499,0.659438020222334
1642024,Alex Reese,Versatile,6,2.5,25.0,25.0,0.161,1.5010181907089442,0.1635833317367563,0.0601781779863971,0.1429830443529073,0.2952390075677746,0.2444487019829485,0.2571510681099722
1642259,Alex Sarr,Anchor Big / Rim Protector,4,1.9793357933579336,58.450184501845015,134.16974169741695,0.158,1.21655469254954,0.1926794109278483,0.0487765142128112,0.0982414112766289,0.0886820680856531,0.1832521041569145,0.581047902267992
1630578,Alperen Sengun,Guards C (High Rebounding),1,2.7536050156739815,94.7962382445141,68.84012539184953,0.21,1.4363734207899734,0.1763929378727071,0.0776837653967083,0.1321040311713731,0.1556925369101048,0.196013380027096,0.4385062864947178
1641708,Amen Thompson,"High High Difficulty, Versatile, Steals",7,3.232198142414861,108.11145510835915,99.1950464396285,0.159,1.5566625319958782,0.2165873295323214,0.2537079127821866,0.2889937591493952,0.1937918945989675,0.1485476539024578,0.1149587795669928
1629599,Amir Coffey,Guards SF (),2,1.6672131147540985,59.016393442622956,10.327868852459018,0.072,1.5433215757428946,0.1937464555299095,0.1718699349479754,0.2971261580308418,0.2643686005162241,0.1676290011626008,0.0990063053423579
203083,Andre Drummond,Anchor Big / Rim Protector,4,3.2170212765957444,74.68085106382978,34.46808510638298,0.288,1.2257806480315143,0.1843660925401537,0.0582748856210081,0.0792818765561525,0.0801479092716778,0.2200520759146046,0.5622432526365568
1641748,Andre Jackson Jr.,"High High Difficulty, Versatile, Steals",7,2.644444444444445,75.55555555555556,31.111111111111114,0.114,1.5259076282463302,0.2279019920779227,0.3089343427832187,0.2627400073797129,0.1945221191334616,0.1481677417633957,0.085635788940211
1629614,Andrew Nembhard,"High High Difficulty, Versatile, Steals",7,2.4539792387543256,98.4083044982699,13.70242214532872,0.093,1.461180495098363,0.2308742379624176,0.3077176099301025,0.3145606685261532,0.2180399826645479,0.0888708619942437,0.0708108768849526
