PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,Archetype_Name,Cluster,USG_PCT,AST_PCT,PICK__ROLL_BALL_HANDLER_FREQ,PICK__ROLL_ROLL_MAN_FREQ,SPOT_UP_FREQ,POST_UP_FREQ,OFF_SCREEN_FREQ,CUT_FREQ,ISOLATION_FREQ,TRANSITION_FREQ
1630545,Terrence Shannon Jr.,MIN,"High Spot Up, Transition",1,0.166,0.139,0.0,0.0,0.391,0.0,0.0,0.08,0.0,0.304
1626179,Terry Rozier,MIA,"P&R Handler, Transition, Spot Up",5,0.195,0.152,0.252,0.0,0.267,0.0,0.032,0.02,0.05,0.231
1628418,Thomas Bryant,IND,"Elite Cutter, Elite Roll Man, Post Up",2,0.162,0.078,0.0,0.227,0.361,0.047,0.0,0.099,0.0,0.0
1642275,Tidjane Salaün,CHA,"High Spot Up, Transition",1,0.15,0.092,0.118,0.047,0.379,0.0,0.038,0.049,0.029,0.198
203501,Tim Hardaway Jr.,DET,"Elite Off-Screen, Spot Up, Transition",6,0.151,0.074,0.062,0.042,0.319,0.0,0.131,0.015,0.02,0.266
202699,Tobias Harris,DET,"Elite Post Up, High Roll Man, High Usage",0,0.173,0.095,0.084,0.039,0.239,0.168,0.027,0.06,0.071,0.203
1628470,Torrey Craig,BOS,"High Spot Up, Transition",1,0.139,0.078,0.0,0.0,0.511,0.0,0.0,0.0,0.0,0.213
1641787,Tosan Evbuomwan,BKN,Balanced / Low Usage Role,7,0.183,0.132,0.078,0.0,0.0,0.0,0.0,0.072,0.065,0.0
1641739,Toumani Camara,POR,"High Spot Up, Transition",1,0.143,0.096,0.028,0.077,0.421,0.0,0.0,0.053,0.026,0.202
1629027,Trae Young,ATL,"Elite P&R Handler, High Playmaking, High Usage",3,0.285,0.452,0.475,0.0,0.059,0.0,0.026,0.014,0.103,0.181
1631218,Trayce Jackson-Davis,GSW,"Elite Cutter, Elite Roll Man, Post Up",2,0.164,0.163,0.0,0.199,0.038,0.059,0.0,0.299,0.0,0.148
1630200,Tre Jones,CHI,"P&R Handler, Transition, Spot Up",5,0.136,0.289,0.253,0.0,0.262,0.0,0.0,0.0,0.057,0.23
1630544,Tre Mann,CHA,"Elite P&R Handler, High Playmaking, High Usage",3,0.25,0.219,0.418,0.0,0.155,0.0,0.0,0.0,0.124,0.067
1630570,Trendon Watford,BKN,"Elite P&R Handler, High Playmaking, High Usage",3,0.226,0.211,0.209,0.031,0.174,0.088,0.02,0.045,0.084,0.149
1630243,Trevelin Queen,ORL,"P&R Handler, Transition, Spot Up",5,0.176,0.141,0.196,0.0,0.257,0.0,0.0,0.078,0.056,0.151
1641998,Trey Jemison III,LAL,"Elite Cutter, Elite Roll Man, Post Up",2,0.121,0.058,0.0,0.226,0.0,0.0,0.0,0.192,0.0,0.0
1626168,Trey Lyles,SAC,"High Spot Up, Transition",1,0.139,0.084,0.0,0.148,0.364,0.033,0.0,0.077,0.0,0.185
1630530,Trey Murphy III,NOP,"P&R Handler, Transition, Spot Up",5,0.229,0.157,0.15,0.038,0.252,0.0,0.066,0.032,0.067,0.239
1641774,Tristan Vukcevic,WAS,"Elite Cutter, Elite Roll Man, Post Up",2,0.252,0.136,0.0,0.297,0.211,0.042,0.0,0.125,0.038,0.141
1641783,Tristan da Silva,ORL,"High Spot Up, Transition",1,0.149,0.105,0.117,0.05,0.339,0.0,0.028,0.096,0.02,0.195
1629660,Ty Jerome,CLE,"Elite P&R Handler, High Playmaking, High Usage",3,0.229,0.241,0.429,0.0,0.215,0.0,0.0,0.013,0.055,0.172
1629639,Tyler Herro,MIA,"Elite P&R Handler, High Playmaking, High Usage",3,0.271,0.254,0.331,0.011,0.177,0.0,0.077,0.019,0.059,0.187
1630169,Tyrese Haliburton,IND,"Elite P&R Handler, High Playmaking, High Usage",3,0.21,0.384,0.384,0.0,0.155,0.0,0.033,0.0,0.095,0.174
1631213,Tyrese Martin,BKN,"P&R Handler, Transition, Spot Up",5,0.179,0.15,0.151,0.0,0.356,0.0,0.05,0.025,0.02,0.183
1630178,Tyrese Maxey,PHI,"Elite P&R Handler, High Playmaking, High Usage",3,0.293,0.276,0.331,0.0,0.119,0.0,0.053,0.01,0.159,0.192
1626145,Tyus Jones,PHX,"P&R Handler, Transition, Spot Up",5,0.16,0.276,0.28,0.02,0.418,0.0,0.019,0.015,0.026,0.149
