Team,Budget_Status,Player,Action,Contract_Value,Contract_Type,Fit_Reason,Archetypes,Score
SAC,Over Cap (MLE/Min only),Alex Len,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,Unknown / Anchor Big / Rim Protector,1
IND,Over Cap (MLE/Min only),Chris Boucher,Sign (Cap Space/MLE),"$3,287,409",Minimum/Low,Defensive Fit,"High Spot Up, Transition / Versatile",1
IND,Over Cap (MLE/Min only),Sandro Mamukelashvili,Sign (Cap Space/MLE),"$2,631,405",Minimum/Low,Defensive Fit,"High Spot Up, Transition / Versatile",1
IND,Over Cap (MLE/Min only),Trendon Watford,Sign (Cap Space/MLE),"$2,631,405",Minimum/Low,Defensive Fit,"Elite P&R Handler, High Playmaking, High Usage / Versatile",1
IND,Over Cap (MLE/Min only),Bismack Biyombo,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,Balanced / Low Usage Role / Anchor Big / Rim Protector,1
IND,Over Cap (MLE/Min only),Alex Len,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,Unknown / Anchor Big / Rim Protector,1
IND,Over Cap (MLE/Min only),Mason Plumlee,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,"Elite Cutter, Elite Roll Man, Post Up / Anchor Big / Rim Protector",1
MIL,Over Cap (MLE/Min only),Myles Turner,Re-sign (Bird Rights),"$27,217,121",High Value,Defensive Fit,"Elite Post Up, High Roll Man, High Usage / Anchor Big / Rim Protector",1
MIL,Over Cap (MLE/Min only),Bismack Biyombo,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,Balanced / Low Usage Role / Anchor Big / Rim Protector,1
MIL,Over Cap (MLE/Min only),Alex Len,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,Unknown / Anchor Big / Rim Protector,1
MIL,Over Cap (MLE/Min only),Chris Boucher,Sign (Cap Space/MLE),"$3,287,409",Minimum/Low,Defensive Fit,"High Spot Up, Transition / Versatile",1
MIL,Over Cap (MLE/Min only),Sandro Mamukelashvili,Sign (Cap Space/MLE),"$2,631,405",Minimum/Low,Defensive Fit,"High Spot Up, Transition / Versatile",1
MIL,Over Cap (MLE/Min only),Trendon Watford,Sign (Cap Space/MLE),"$2,631,405",Minimum/Low,Defensive Fit,"Elite P&R Handler, High Playmaking, High Usage / Versatile",1
MIL,Over Cap (MLE/Min only),Amir Coffey,Re-sign (Bird Rights),"$2,874,436",Minimum/Low,Defensive Fit,"High Spot Up, Transition / Guards SF ()",1
MIL,Over Cap (MLE/Min only),Doug McDermott,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,Unknown / Guards SF (),1
